
Date,Start (ET),,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
April,April,April,April,April,April,April,April,April
Sat Apr 16 2016,7:00 pm,Box Score,Boston Celtics,101,Atlanta Hawks,102,,
Sat Apr 16 2016,3:30 pm,Box Score,Houston Rockets,78,Golden State Warriors,104,,
Sat Apr 16 2016,9:30 pm,Box Score,Dallas Mavericks,70,Oklahoma City Thunder,108,,
Sat Apr 16 2016,12:30 pm,Box Score,Indiana Pacers,100,Toronto Raptors,90,,
Sun Apr 17 2016,3:00 pm,Box Score,Detroit Pistons,101,Cleveland Cavaliers,106,,
Sun Apr 17 2016,10:30 pm,Box Score,Portland Trail Blazers,95,Los Angeles Clippers,115,,
Sun Apr 17 2016,5:30 pm,Box Score,Charlotte Hornets,91,Miami Heat,123,,
Sun Apr 17 2016,8:00 pm,Box Score,Memphis Grizzlies,74,San Antonio Spurs,106,,
Mon Apr 18 2016,10:30 pm,Box Score,Houston Rockets,106,Golden State Warriors,115,,
Mon Apr 18 2016,8:00 pm,Box Score,Dallas Mavericks,85,Oklahoma City Thunder,84,,
Mon Apr 18 2016,7:00 pm,Box Score,Indiana Pacers,87,Toronto Raptors,98,,
Tue Apr 19 2016,7:00 pm,Box Score,Boston Celtics,72,Atlanta Hawks,89,,
Tue Apr 19 2016,9:30 pm,Box Score,Memphis Grizzlies,68,San Antonio Spurs,94,,
Wed Apr 20 2016,8:00 pm,Box Score,Detroit Pistons,90,Cleveland Cavaliers,107,,
Wed Apr 20 2016,10:30 pm,Box Score,Portland Trail Blazers,81,Los Angeles Clippers,102,,
Wed Apr 20 2016,7:00 pm,Box Score,Charlotte Hornets,103,Miami Heat,115,,
Thu Apr 21 2016,7:00 pm,Box Score,Oklahoma City Thunder,131,Dallas Mavericks,102,,
Thu Apr 21 2016,9:30 pm,Box Score,Golden State Warriors,96,Houston Rockets,97,,
Thu Apr 21 2016,7:30 pm,Box Score,Toronto Raptors,101,Indiana Pacers,85,,
Fri Apr 22 2016,8:00 pm,Box Score,Atlanta Hawks,103,Boston Celtics,111,,
Fri Apr 22 2016,7:00 pm,Box Score,Cleveland Cavaliers,101,Detroit Pistons,91,,
Fri Apr 22 2016,9:30 pm,Box Score,San Antonio Spurs,96,Memphis Grizzlies,87,,
Sat Apr 23 2016,5:30 pm,Box Score,Miami Heat,80,Charlotte Hornets,96,,
Sat Apr 23 2016,8:00 pm,Box Score,Oklahoma City Thunder,119,Dallas Mavericks,108,,
Sat Apr 23 2016,3:00 pm,Box Score,Toronto Raptors,83,Indiana Pacers,100,,
Sat Apr 23 2016,10:30 pm,Box Score,Los Angeles Clippers,88,Portland Trail Blazers,96,,
Sun Apr 24 2016,6:00 pm,Box Score,Atlanta Hawks,95,Boston Celtics,104,OT,
Sun Apr 24 2016,8:30 pm,Box Score,Cleveland Cavaliers,100,Detroit Pistons,98,,
Sun Apr 24 2016,3:30 pm,Box Score,Golden State Warriors,121,Houston Rockets,94,,
Sun Apr 24 2016,1:00 pm,Box Score,San Antonio Spurs,116,Memphis Grizzlies,95,,
Mon Apr 25 2016,7:00 pm,Box Score,Miami Heat,85,Charlotte Hornets,89,,
Mon Apr 25 2016,8:00 pm,Box Score,Dallas Mavericks,104,Oklahoma City Thunder,118,,
Mon Apr 25 2016,10:30 pm,Box Score,Los Angeles Clippers,84,Portland Trail Blazers,98,,
Tue Apr 26 2016,8:30 pm,Box Score,Boston Celtics,83,Atlanta Hawks,110,,
Tue Apr 26 2016,6:00 pm,Box Score,Indiana Pacers,99,Toronto Raptors,102,,
Wed Apr 27 2016,10:30 pm,Box Score,Houston Rockets,81,Golden State Warriors,114,,
Wed Apr 27 2016,10:00 pm,Box Score,Portland Trail Blazers,108,Los Angeles Clippers,98,,
Wed Apr 27 2016,8:00 pm,Box Score,Charlotte Hornets,90,Miami Heat,88,,
Thu Apr 28 2016,8:00 pm,Box Score,Atlanta Hawks,104,Boston Celtics,92,,
Fri Apr 29 2016,8:00 pm,Box Score,Miami Heat,97,Charlotte Hornets,90,,
Fri Apr 29 2016,7:30 pm,Box Score,Toronto Raptors,83,Indiana Pacers,101,,
Fri Apr 29 2016,10:30 pm,Box Score,Los Angeles Clippers,103,Portland Trail Blazers,106,,
Sat Apr 30 2016,8:30 pm,Box Score,Oklahoma City Thunder,92,San Antonio Spurs,124,,
May,May,May,May,May,May,May,May,May
Sun May 1 2016,3:30 pm,Box Score,Portland Trail Blazers,106,Golden State Warriors,118,,
Sun May 1 2016,1:00 pm,Box Score,Charlotte Hornets,73,Miami Heat,106,,
Sun May 1 2016,8:00 pm,Box Score,Indiana Pacers,84,Toronto Raptors,89,,
Mon May 2 2016,7:00 pm,Box Score,Atlanta Hawks,93,Cleveland Cavaliers,104,,
Mon May 2 2016,9:30 pm,Box Score,Oklahoma City Thunder,98,San Antonio Spurs,97,,
Tue May 3 2016,10:30 pm,Box Score,Portland Trail Blazers,99,Golden State Warriors,110,,
Tue May 3 2016,8:00 pm,Box Score,Miami Heat,102,Toronto Raptors,96,OT,
Wed May 4 2016,8:00 pm,Box Score,Atlanta Hawks,98,Cleveland Cavaliers,123,,
Thu May 5 2016,8:00 pm,Box Score,Miami Heat,92,Toronto Raptors,96,OT,
Fri May 6 2016,7:00 pm,Box Score,Cleveland Cavaliers,121,Atlanta Hawks,108,,
Fri May 6 2016,9:30 pm,Box Score,San Antonio Spurs,100,Oklahoma City Thunder,96,,
Sat May 7 2016,5:00 pm,Box Score,Toronto Raptors,95,Miami Heat,91,,
Sat May 7 2016,8:30 pm,Box Score,Golden State Warriors,108,Portland Trail Blazers,120,,
Sun May 8 2016,3:30 pm,Box Score,Cleveland Cavaliers,100,Atlanta Hawks,99,,
Sun May 8 2016,8:00 pm,Box Score,San Antonio Spurs,97,Oklahoma City Thunder,111,,
Mon May 9 2016,8:00 pm,Box Score,Toronto Raptors,87,Miami Heat,94,OT,
Mon May 9 2016,10:30 pm,Box Score,Golden State Warriors,132,Portland Trail Blazers,125,OT,
Tue May 10 2016,8:00 pm,Box Score,Oklahoma City Thunder,95,San Antonio Spurs,91,,
Wed May 11 2016,10:30 pm,Box Score,Portland Trail Blazers,121,Golden State Warriors,125,,
Wed May 11 2016,8:00 pm,Box Score,Miami Heat,91,Toronto Raptors,99,,
Thu May 12 2016,8:30 pm,Box Score,San Antonio Spurs,99,Oklahoma City Thunder,113,,
Fri May 13 2016,8:00 pm,Box Score,Toronto Raptors,91,Miami Heat,103,,
Sun May 15 2016,3:30 pm,Box Score,Miami Heat,89,Toronto Raptors,116,,
Mon May 16 2016,9:00 pm,Box Score,Oklahoma City Thunder,108,Golden State Warriors,102,,
Tue May 17 2016,8:30 pm,Box Score,Toronto Raptors,84,Cleveland Cavaliers,115,,
Wed May 18 2016,9:00 pm,Box Score,Oklahoma City Thunder,91,Golden State Warriors,118,,
Thu May 19 2016,8:30 pm,Box Score,Toronto Raptors,89,Cleveland Cavaliers,108,,
Sat May 21 2016,8:30 pm,Box Score,Cleveland Cavaliers,84,Toronto Raptors,99,,
Sun May 22 2016,8:00 pm,Box Score,Golden State Warriors,105,Oklahoma City Thunder,133,,
Mon May 23 2016,8:30 pm,Box Score,Cleveland Cavaliers,99,Toronto Raptors,105,,
Tue May 24 2016,9:00 pm,Box Score,Golden State Warriors,94,Oklahoma City Thunder,118,,
Wed May 25 2016,8:30 pm,Box Score,Toronto Raptors,78,Cleveland Cavaliers,116,,
Thu May 26 2016,9:00 pm,Box Score,Oklahoma City Thunder,111,Golden State Warriors,120,,
Fri May 27 2016,8:30 pm,Box Score,Cleveland Cavaliers,113,Toronto Raptors,87,,
Sat May 28 2016,9:00 pm,Box Score,Golden State Warriors,108,Oklahoma City Thunder,101,,
Sun May 29 2016,8:30 pm,,Toronto Raptors,,Cleveland Cavaliers,,,
Mon May 30 2016,9:00 pm,Box Score,Oklahoma City Thunder,88,Golden State Warriors,96,,
June,June,June,June,June,June,June,June,June
Thu Jun 2 2016,9:00 pm,Box Score,Cleveland Cavaliers,89,Golden State Warriors,104,,
Sun Jun 5 2016,8:00 pm,,Cleveland Cavaliers,,Golden State Warriors,,,
Wed Jun 8 2016,9:00 pm,,Golden State Warriors,,Cleveland Cavaliers,,,
Fri Jun 10 2016,9:00 pm,,Golden State Warriors,,Cleveland Cavaliers,,,
Mon Jun 13 2016,9:00 pm,,Cleveland Cavaliers,,Golden State Warriors,,,
Thu Jun 16 2016,9:00 pm,,Golden State Warriors,,Cleveland Cavaliers,,,
Sun Jun 19 2016,8:00 pm,,Cleveland Cavaliers,,Golden State Warriors,,,
